순번	소분류	발행기관	학술지명	발행국가	ISSN	IF값	IF상위값
7323	국제전문학술지(SCIE)	WALTER DE GRUYTER GMBH	INTERNATIONAL JOURNAL OF FOOD ENGINEERING	미국	21945764	1.4	76.1
10013	국제전문학술지(SCIE)	SAGE PUBLICATIONS INC	NATURAL PRODUCT COMMUNICATIONS	미국	1934578X	1.4	76.1
14532	국제전문학술지(SSCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT	영국	01608061	1.2	76.1
3771	국제전문학술지(SCIE)	SPRINGER WIEN	APPLIED MAGNETIC RESONANCE	오스트리아	09379347	1.1	76.1
5472	국제전문학술지(SCIE)	WILEY	DEVELOPING WORLD BIOETHICS	미국	14718731	1	76.1
8575	국제전문학술지(SCIE)	SPRINGER HEIDELBERG	JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING	독일	16090985	1.7	76.2
8468	국제전문학술지(SCIE)	LIBRARY & INFORMATION CENTER, NAT DONG HWA UNIV	JOURNAL OF INTERNET TECHNOLOGY	대만	16079264	1.2	76.2
3296	국제전문학술지(SCIE)	WILEY	AFRICAN JOURNAL OF ECOLOGY	미국	01416707	1.1	76.2
5655	국제전문학술지(SCIE)	UNIV WISCONSIN PRESS	ECOLOGICAL RESTORATION	미국	15434060	1.1	76.2
11935	국제전문학술지(SCIE)	SPRINGER HEIDELBERG	THEORETICAL ECOLOGY	독일	18741738	1.1	76.2
14528	국제전문학술지(SSCI)	INCISIVE MEDIA	JOURNAL OF OPERATIONAL RISK	영국	17446740	0.8	76.2
5395	국제전문학술지(SCIE)	KEAI PUBLISHING LTD	CURRENT RADIOPHARMACEUTICALS	아랍에미리트	18744710	1.2	76.3
8082	국제전문학술지(SCIE)	TERMEDIA PUBLISHING HOUSE LTD	JOURNAL OF CONTEMPORARY BRACHYTHERAPY	폴란드	1689832X	1.2	76.3
10304	국제전문학술지(SCIE)	GEORG THIEME VERLAG KG	NUKLEARMEDIZIN-NUCLEAR MEDICINE	독일	00295566	1.2	76.3
4965	국제전문학술지(SCIE)	DUSTRI-VERLAG DR KARL FEISTLE	CLINICAL NEPHROLOGY	독일	03010430	1	76.3
11529	국제전문학술지(SCIE)	WILEY	SEMINARS IN DIALYSIS	미국	08940959	1	76.3
12432	국제전문학술지(SSCI)	AKADEMIAI KIADO ZRT	ACTA LINGUISTICA ACADEMICA	헝가리	25598201	0.4	76.3
13930	국제전문학술지(SSCI)	UNIV TORONTO PRESS INC	INTERNATIONAL JOURNAL OF SPEECH LANGUAGE AND THE LAW	영국	17488885	0.4	76.3
14376	국제전문학술지(SSCI)	JOHN BENJAMINS PUBLISHING CO	JOURNAL OF HISTORICAL PRAGMATICS	네덜란드	15665852	0.4	76.3
15157	국제전문학술지(SSCI)	CAMBRIDGE UNIV PRESS	PHONOLOGY	영국	09526757	0.4	76.3
15234	국제전문학술지(SSCI)	DE GRUYTER MOUTON	PROBUS	독일	09214771	0.4	76.3
